"","logFC","logCPM","F","PValue","FDR","gene_symbol"
"ENSG00000003402",0.175045245387565,9.75234715042092,8.98057400191573,0.00652970811529123,1,"CFLAR"
"ENSG00000003436",-0.0651403512258596,2.75876554726278,0.0816336928120754,0.887730624298776,1,"TFPI"
"ENSG00000003509",0.00809022522539171,5.04967825937078,0.00362367123325335,0.968643520314856,1,"NDUFAF7"
"ENSG00000003756",-0.00132808918579073,8.71263121732856,0.000522591174670112,0.981962869491143,1,"RBM5"
"ENSG00000004059",-0.0828125081809302,5.81866973764261,0.245030449839452,0.625386012614326,1,"ARF5"
"ENSG00000004139",0.137080736160766,6.22949334416829,1.30037452382015,0.323570067554575,1,"SARM1"
"ENSG00000004142",-0.0389446352072198,5.21939415093232,0.0748089670319755,0.857635263224994,1,"POLDIP2"
"ENSG00000004399",0.0332616349411758,8.0479395651224,0.101085568711917,0.753456933656628,1,"PLXND1"
"ENSG00000004455",-0.000994374084954925,6.6143433616828,0.000158676188203475,0.993471156348409,1,"AK2"
"ENSG00000004468",0.174751094498573,4.92536265993751,2.34444929788458,0.310781036361145,1,"CD38"
"ENSG00000004478",0.000876197154502192,5.70249024680817,3.17712642583182e-05,0.996662173314661,1,"FKBP4"
"ENSG00000004487",0.0803415964406494,6.02635945030346,0.645893864286367,0.600367339257463,1,"KDM1A"
"ENSG00000004534",0.0341384622679327,8.15600436883477,0.185575255952663,0.670715602594221,1,"RBM6"
"ENSG00000004700",0.0873459061540042,6.62768343240856,0.771517408203638,0.468062857931018,1,"RECQL"
"ENSG00000004766",-0.033988539979727,5.80450357399452,0.114090212556963,0.831682916104077,1,"VPS50"
"ENSG00000004777",0.0481955100559925,4.02082906254439,0.0708581398906911,0.878387284946283,1,"ARHGAP33"
"ENSG00000004779",0.143217755403163,3.89221812589474,0.479520148304208,0.684275100253316,1,"NDUFAB1"
"ENSG00000004799",-0.73384979088369,3.55125262236342,7.97513891183818,0.0382994798571607,1,"PDK4"
"ENSG00000004864",0.189695700361289,4.09101388789517,1.31239256215062,0.590470218472212,1,"SLC25A13"
"ENSG00000004866",-0.0719986682260526,3.57057754255717,0.253293199825862,0.828657656145345,1,"ST7"
"ENSG00000004897",-0.0128239368669921,6.48067409749729,0.00664887700641391,0.935731563704429,1,"CDC27"
"ENSG00000004961",0.0815699776694827,4.04825063889179,0.171355380848443,0.792821395570071,1,"HCCS"
"ENSG00000004975",0.058944687802407,5.57316817042823,0.192647970044199,0.753639319084178,1,"DVL2"
"ENSG00000005007",-0.00379631210431328,7.49369010844354,0.000765443832652628,0.978171458430487,1,"UPF1"
"ENSG00000005020",-0.17404692592371,6.27886267728187,1.00398801552414,0.32698101669113,1,"SKAP2"
"ENSG00000005022",-0.0689317037072063,6.4210792180587,0.366884411384497,0.60080849515352,1,"SLC25A5"
"ENSG00000005059",-0.188177634948697,5.69960766438576,1.79168878771462,0.258747153400153,1,"MCUB"
"ENSG00000005075",0.0943876859133738,3.91564972587334,0.146138313190014,0.777395349761433,1,"POLR2J"
"ENSG00000005100",0.035162905697486,5.19232847018684,0.110456508708648,0.861809783447651,1,"DHX33"
"ENSG00000005156",0.00455498653901968,6.10677164562451,0.00361178834694446,0.974804201196543,1,"LIG3"
"ENSG00000005175",-0.0495710016722006,5.40627529721274,0.102036387413358,0.790056078955066,1,"RPAP3"
"ENSG00000005187",-0.406573265132169,3.9129953312598,2.1943154192445,0.262523537394278,1,"ACSM3"
"ENSG00000005194",-0.0596657411155134,4.77937080065242,0.142400530069618,0.795042919557816,1,"CIAPIN1"
"ENSG00000005206",-0.130587619953561,6.3930567649738,0.343383739814595,0.563703491759287,1,"SPPL2B"
"ENSG00000005238",-0.198434061072783,5.13786661156602,1.97909790425119,0.363228675443682,1,"FAM214B"
"ENSG00000005249",-0.139577610652046,3.46336462395162,0.659833164473766,0.589437310956373,1,"PRKAR2B"
"ENSG00000005302",0.062761008760842,7.479739865311,0.529151928566094,0.474452555962873,1,"MSL3"
"ENSG00000005339",0.115136214917656,8.84649237628387,1.8865046555213,0.183101791653014,1,"CREBBP"
"ENSG00000005379",0.0928955520586315,7.44360507167928,0.478713139823917,0.496070086326497,1,"TSPOAP1"
"ENSG00000005436",-0.24068299354951,4.59204265663216,2.03105139192173,0.330609887693522,1,"GCFC2"
"ENSG00000005448",0.08190240622687,3.85420172219072,0.163767626770691,0.811654976656883,1,"WDR54"
"ENSG00000005469",-0.100222640765679,4.33980856597035,0.315412648232494,0.730101204580708,1,"CROT"
"ENSG00000005471",0.339053373605213,3.10023088425843,1.2196866825031,0.545319497290341,1,"ABCB4"
"ENSG00000005483",0.080932402491981,8.81818290342376,0.204606164661231,0.655350565103366,1,"KMT2E"
"ENSG00000005486",-0.0822175403528968,5.79369308448578,0.445293189442858,0.600448247861477,1,"RHBDD2"
