Sample	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads
SRR2042591	0.12	45.19179380546977	50.0	51.0	9.090909090909092	24745039.0		
SRR2042591_trimBoth		44.38030887449999	50.0	49.47801581369313	9.090909090909092	24714151.0	86.12006538278413	21283843.0
SRR2042591_trimQuality	0.0	44.38030887449999	50.0	49.47801581369313	9.090909090909092	24714151.0		
SRR2042592	0.09	50.7246721077039	50.0	51.0	18.181818181818183	40270125.0		
SRR2042592_trimBoth		49.87534194448304	50.0	49.51491450770988	9.090909090909092	40233745.0	84.8242215582964	34127961.0
SRR2042592_trimQuality	0.0	49.87534194448304	50.0	49.51491450770988	9.090909090909092	40233745.0		
SRR2042593	0.09	49.55027701234849	49.0	51.0	9.090909090909092	32894857.0		
SRR2042593_trimBoth		48.69040925845939	49.0	49.5386070363305	9.090909090909092	32864346.0	86.20882947130607	28331968.0
SRR2042593_trimQuality	0.0	48.69040925845939	49.0	49.5386070363305	9.090909090909092	32864346.0		
SRR2042594	0.11	48.55978328800483	49.0	51.0	9.090909090909092	31467531.0		
SRR2042594_trimBoth		47.81725135623979	49.0	49.55578138108194	9.090909090909092	31434297.0	85.94509366632249	27016236.0
SRR2042594_trimQuality	0.0	47.81725135623979	49.0	49.55578138108194	9.090909090909092	31434297.0		
SRR2042595	0.11	50.422259614991994	49.0	51.0	18.181818181818183	34210130.0		
SRR2042595_trimBoth		49.56101759985364	49.0	49.54929769117562	9.090909090909092	34172716.0	87.67954821033248	29962483.0
SRR2042595_trimQuality	0.0	49.56101759985364	49.0	49.54929769117562	9.090909090909092	34172716.0		
SRR2042596	0.14	44.51042512639254	49.0	51.0	9.090909090909092	23409430.0		
SRR2042596_trimBoth		43.69992293453504	49.0	49.48398715105011	9.090909090909092	23376852.0	85.70070512488167	20034127.0
SRR2042596_trimQuality	0.0	43.69992293453504	49.0	49.48398715105011	9.090909090909092	23376852.0		
SRR2042597	0.13	59.454203713424725	49.0	51.0	18.181818181818183	89303032.0		
SRR2042597_trimBoth		58.49939660021414	49.0	49.49797408995176	18.181818181818183	89183624.0	85.1833179598084	75969570.0
SRR2042597_trimQuality	0.0	58.49939660021414	49.0	49.49797408995176	18.181818181818183	89183624.0		
