"","logFC","logCPM","F","PValue","FDR","gene_symbol"
"ENSG00000004766",-0.063020470250063,3.94137120687541,0.209472081892438,0.652734529004787,1,"VPS50"
"ENSG00000004777",-0.0412406878487592,6.39684989559626,0.0926096515586649,0.764424429094269,1,"ARHGAP33"
"ENSG00000004779",-0.0512498642209874,5.43342244213184,0.260156571842837,0.616296680957377,1,"NDUFAB1"
"ENSG00000004799",-0.0533109388739966,1.10285465408205,0.0252507653210436,0.875537920677052,1,"PDK4"
"ENSG00000004809",-0.065702969021656,5.63491244488876,0.483054595739469,0.4960408420115,1,"SLC22A16"
"ENSG00000004838",-0.228033671534811,0.786026321940272,0.70372503056148,0.412690828228093,1,"ZMYND10"
"ENSG00000004846",0.303179530241328,-1.41673702620132,0.439276657039176,0.574389970473376,1,"ABCB5"
"ENSG00000004848",-0.461320197606755,1.87769150587882,4.19871790567055,0.0555344406082892,1,"ARX"
"ENSG00000004864",0.0597883779175763,4.46511916144098,0.324107125109403,0.576284299255459,1,"SLC25A13"
"ENSG00000004866",-0.0591811909626181,4.0644304905661,0.249408843915763,0.623625433178891,1,"ST7"
"ENSG00000004897",0.0314968707819871,6.51260602426107,0.0869247425229431,0.771544428091052,1,"CDC27"
"ENSG00000004939",-0.755890733864805,-1.10316452464754,2.87040340133889,0.107696224024901,1,"SLC4A1"
"ENSG00000004961",-0.0583982036459193,4.47636745979916,0.507142704503781,0.485634746719895,1,"HCCS"
"ENSG00000004975",0.143857430503194,4.94767763295116,2.08495890740403,0.16617637728456,1,"DVL2"
"ENSG00000005007",-0.054475779554547,6.97138132036303,0.531818830933921,0.475357318704644,1,"UPF1"
"ENSG00000005020",-0.00534551231702692,6.52014587441557,0.00357467126111143,0.952992080141097,1,"SKAP2"
"ENSG00000005022",-0.0108368186901039,8.09294705810873,0.0248152721678391,0.87660645150511,1,"SLC25A5"
"ENSG00000005059",-0.219336512875516,1.2714061540264,1.02718253616442,0.324438813298047,1,"MCUB"
"ENSG00000005073",-0.0651241707480476,5.3088141554292,0.905798410513492,0.354013252034077,1,"HOXA11"
"ENSG00000005075",-0.0447146743062995,5.12837975851149,0.147092113316188,0.70588502493217,1,"POLR2J"
"ENSG00000005100",0.0432570007179467,4.08284841263517,0.187701714543981,0.670055647771397,1,"DHX33"
"ENSG00000005108",-0.0821377393905035,7.12999815254536,0.27490723419018,0.606545412496208,1,"THSD7A"
"ENSG00000005156",-0.084440028938272,5.07554315035825,0.554076091555183,0.466398561849401,1,"LIG3"
"ENSG00000005175",-0.0250130933719522,6.39276188681655,0.0853677024127401,0.773538634349063,1,"RPAP3"
"ENSG00000005187",-0.1677867317979,0.976384253103761,0.217481161666113,0.646638450608949,1,"ACSM3"
"ENSG00000005189",0.0790589149111232,4.82557729792603,0.394134030415465,0.538128535671818,1,"REXO5"
"ENSG00000005194",-0.12520230707484,5.41658725060597,1.46458137136911,0.24207340663659,1,"CIAPIN1"
"ENSG00000005206",-0.108255235833395,6.79848734654802,0.798230907564908,0.383577224083004,1,"SPPL2B"
"ENSG00000005238",0.0191097419926197,4.54848195702508,0.0258216385118891,0.874151448040423,1,"FAM214B"
"ENSG00000005243",0.135698874824796,3.20061345231645,1.06506948895852,0.315920083632891,1,"COPZ2"
"ENSG00000005249",-0.036890785242758,4.38706746550733,0.0866523528348802,0.771891881558089,1,"PRKAR2B"
"ENSG00000005302",0.287495331094192,5.2145176204176,5.15317448137071,0.0359100734056355,1,"MSL3"
"ENSG00000005339",0.520743684834825,6.65254161606761,2.64786917408524,0.121310009059772,1,"CREBBP"
"ENSG00000005379",0.00341022384569224,5.21756241922301,0.000337646803531911,0.98554454651744,1,"TSPOAP1"
"ENSG00000005381",0.174021734216999,2.46289110221641,0.955925674526771,0.341354455471653,1,"MPO"
"ENSG00000005436",-0.221396248232725,4.23354268519541,4.77338946552599,0.0425681880822145,1,"GCFC2"
"ENSG00000005448",-0.0605768222039705,3.8011352828383,0.314873226622927,0.581720976215584,1,"WDR54"
"ENSG00000005469",0.396771172911566,1.93763724855492,4.88676232026002,0.0404426863872462,1,"CROT"
"ENSG00000005471",0.82796986199125,3.14072869171393,6.14603602909416,0.023452399757647,1,"ABCB4"
"ENSG00000005483",-0.0735776249177321,6.57020851518059,0.308641524320118,0.585450134232696,1,"KMT2E"
"ENSG00000005486",-0.180133116199379,4.32419699635802,2.8540346044636,0.108633309911459,1,"RHBDD2"
"ENSG00000005700",0.0371207023931268,6.25636336689229,0.227008280447665,0.63956373336168,1,"IBTK"
"ENSG00000005801",-0.0503191248189176,5.37860351915299,0.504126622019033,0.486916958778398,1,"ZNF195"
"ENSG00000005810",-0.0166380053819309,6.41506654147025,0.0268195783881963,0.871765068442407,1,"MYCBP2"
"ENSG00000005812",0.0379480934899288,5.46714166640505,0.159844550563853,0.694070037160643,1,"FBXL3"
"ENSG00000005844",0.0720577823032082,7.3859852889466,0.362407830035112,0.55478496836053,1,"ITGAL"
"ENSG00000005882",-0.0151722485550341,4.42865972773886,0.0233372292994097,0.880306623946788,1,"PDK2"
"ENSG00000005884",-0.0289153940703242,2.01586282397845,0.0242423068664238,0.878027050342375,1,"ITGA3"
"ENSG00000005889",0.0501641862904313,4.98365546847764,0.236600879902055,0.632623539916821,1,"ZFX"
"ENSG00000005893",-0.0448486545619434,7.97113393987038,0.183671225455448,0.673392979561314,1,"LAMP2"
"ENSG00000005961",0.263500461478769,1.92520090196989,0.970522693654252,0.337789583421565,1,"ITGA2B"
"ENSG00000006007",-0.0904248484300863,5.56735716371354,1.03513336562395,0.32262482314222,1,"GDE1"
"ENSG00000006015",-0.117496674424603,5.35852782062336,0.591846313669852,0.451823085315859,1,"REX1BD"
"ENSG00000006016",0.0905692645223899,1.16210504398165,0.240481494145464,0.629865714379862,1,"CRLF1"
"ENSG00000006025",-0.0769788285121874,4.6880501624906,0.283333905921821,0.601124846140353,1,"OSBPL7"
"ENSG00000006047",-1.0035354048554,-1.36212049396698,3.64769172791129,0.0724433837120938,1,"YBX2"
"ENSG00000006062",-0.249339684168546,2.45574262775689,3.72982866132343,0.0695780160553127,1,"MAP3K14"
"ENSG00000006071",-0.541142308779888,-0.751839394670312,2.26923152692646,0.149555798661734,1,"ABCC8"
"ENSG00000006118",0.158850592909063,-1.19534563517039,0.0820698739652356,0.777828826924257,1,"TMEM132A"
"ENSG00000006125",-0.034074988099857,7.22451472541122,0.205975219510887,0.655440760715624,1,"AP2B1"
"ENSG00000006194",-0.042306121260861,5.34168814766342,0.287862149197157,0.598254969911142,1,"ZNF263"
"ENSG00000006210",-0.0499718574380039,-1.56819229623744,0.00967680999356377,0.922740293619548,1,"CX3CL1"
"ENSG00000006282",-0.050596832635573,5.68895289279528,0.266048740172532,0.61236019176791,1,"SPATA20"
"ENSG00000006327",-0.133603931795939,1.67301459147651,0.373807666057077,0.548687480244817,1,"TNFRSF12A"
"ENSG00000006377",0.0124977957458917,0.938830918762337,0.00293966786301021,0.957366534444202,1,"DLX6"
"ENSG00000006432",-0.196379739724545,0.226571972338705,0.414701229695362,0.52782755298344,1,"MAP3K9"
"ENSG00000006451",0.200904701168937,5.30810139141211,2.75360123256429,0.114600312967277,1,"RALA"
"ENSG00000006453",0.0124152984216174,1.47869266470388,0.00387221008569761,0.951077380802568,1,"BAIAP2L1"
"ENSG00000006459",0.0619294144996355,1.96025368347952,0.079373532461096,0.78140664225451,1,"KDM7A"
"ENSG00000006468",-0.401632879574654,1.72371217262015,1.3400846015295,0.262360237290972,1,"ETV1"
"ENSG00000006530",0.0388455197855974,4.1328134420294,0.133454278343569,0.719194064785168,1,"AGK"
"ENSG00000006534",-0.0254578411645572,6.69139119125249,0.0978587626980738,0.758060239781262,1,"ALDH3B1"
"ENSG00000006555",-0.423085211582575,-1.47847684756975,1.43267257018471,0.276295201367487,1,"TTC22"
"ENSG00000006576",-0.0218606187369935,4.71784097315713,0.0327499129243133,0.858442018576799,1,"PHTF2"
"ENSG00000006607",-0.0338510125194755,5.11533452611535,0.0797812357580367,0.780861470662506,1,"FARP2"
"ENSG00000006611",-0.167467531397398,1.81500667898626,0.500016504843354,0.488673675820456,1,"USH1C"
"ENSG00000006625",-0.0495631879248226,5.40989998056121,0.397319156552407,0.536508773678113,1,"GGCT"
"ENSG00000006634",-0.00897692879621981,5.05181713703933,0.00498779754840947,0.944486396331852,1,"DBF4"
"ENSG00000006638",0.498932138754227,2.89935810371118,9.1289190471172,0.00742117593728276,0.818079122377731,"TBXA2R"
"ENSG00000006652",0.138383640490532,5.37262646251247,2.55430067272376,0.127643714937968,1,"IFRD1"
"ENSG00000006695",-0.0946711433647058,3.14433103593262,0.569792810242462,0.460240666515469,1,"COX10"
"ENSG00000006704",-0.0795647841381986,3.68214863639273,0.161348589653533,0.69271323558187,1,"GTF2IRD1"
"ENSG00000006712",0.120036389702153,6.06115807504495,1.72260355741171,0.206077739011861,1,"PAF1"
"ENSG00000006715",-0.0144104132439259,5.53861672781842,0.00696263776968456,0.934433640156328,1,"VPS41"
