target_id	length	eff_length	est_counts	tpm
dna:chromosome	537	438	46.5215	4.3169
dna:chromosome	343	244	0	0
dna:chromosome	347	248	0	0
dna:chromosome	407	308	0	0
dna:chromosome	390	291	0	0
dna:chromosome	544	445	3.66254	0.334515
dna:chromosome	412	313	0	0
dna:chromosome	390	291	2	0.279338
dna:chromosome	544	445	0	0
dna:chromosome	409	310	0	0
dna:chromosome	347	248	0	0
dna:chromosome	465	366	2.30506	0.255973
dna:chromosome	552	453	38.7145	3.4735
dna:chromosome	350	251	0	0
dna:chromosome	392	293	0	0
dna:chromosome	455	356	0	0
dna:chromosome	424	325	0	0
dna:chromosome	386	287	0	0
dna:chromosome	365	266	0	0
dna:chromosome	397	298	15	2.04582
dna:chromosome	395	296	0	0
dna:chromosome	478	379	0	0
dna:chromosome	392	293	0	0
dna:chromosome	344	245	0	0
dna:chromosome	347	248	0.5	0.0819428
dna:chromosome	343	244	1	0.166572
dna:chromosome	468	369	19.9143	2.19347
dna:chromosome	512	413	0	0
dna:chromosome	344	245	0	0
dna:chromosome	416	317	0	0
dna:chromosome	347	248	0	0
dna:chromosome	373	274	0	0
dna:chromosome	391	292	0	0
dna:chromosome	421	322	0	0
dna:chromosome	1295	1196	0	0
dna:chromosome	935	836	0	0
dna:chromosome	940	841	0	0
dna:chromosome	990	891	0	0
dna:chromosome	921	822	0	0
dna:chromosome	2778	2679	0	0
dna:chromosome	921	822	0	0
dna:chromosome	1239	1140	2	0.0713046
dna:chromosome	1684	1585	0	0
dna:chromosome	1504	1405	0	0
dna:chromosome	692	593	11.447	0.784563
dna:chromosome	1576	1477	0	0
dna:chromosome	1738	1639	40.9706	1.01598
dna:chromosome	1363	1264	6.01805	0.193509
dna:chromosome	573	474	0	0
dna:chromosome	564	465	0	0
dna:chromosome	1734	1635	0	0
dna:chromosome	1504	1405	0	0
dna:chromosome	1295	1196	0	0
dna:chromosome	3409	3310	2	0.0245581
dna:chromosome	3463	3364	0	0
dna:chromosome	1045	946	0	0
dna:chromosome	925	826	0	0
dna:chromosome	606	507	0	0
dna:chromosome	462	363	1	0.111966
dna:chromosome	1563	1464	0	0
dna:chromosome	4888	4789	9.35352	0.0793821
dna:chromosome	4376	4277	44.4832	0.422716
dna:chromosome	279	180	0	0
dna:chromosome	1112	1013	0	0
dna:chromosome	318	219	0	0
dna:chromosome	1712	1613	0	0
dna:chromosome	1493	1394	0	0
dna:chromosome	1421	1322	0	0
dna:chromosome	1637	1538	0	0
dna:chromosome	1132	1033	0	0
dna:chromosome	3595	3496	16.9248	0.196763
dna:chromosome	2528	2429	0	0
dna:chromosome	1720	1621	0	0
dna:chromosome	14829	14730	0	0
dna:chromosome	656	557	0	0
dna:chromosome	404	305	0	0
dna:chromosome	553	454	0	0
dna:chromosome	8003	7904	0.71865	0.00369541
dna:chromosome	765	666	0	0
dna:chromosome	546	447	0	0
dna:chromosome	566	467	0	0
dna:chromosome	554	455	9.04755	0.808188
dna:chromosome	1070	971	0	0
dna:chromosome	769	670	9.63695	0.584598
dna:chromosome	1632	1533	966.947	25.6362
dna:chromosome	567	468	0	0
dna:chromosome	527	428	2.35125	0.223279
dna:chromosome	1101	1002	880.867	35.7302
dna:chromosome	553	454	0	0
dna:chromosome	542	443	295.866	27.1446
dna:chromosome	958	859	0	0
dna:chromosome	1507	1408	474.934	13.7096
dna:chromosome	1608	1509	0	0
dna:chromosome	677	578	0	0
dna:chromosome	1984	1885	32.822	0.707695
dna:chromosome	1313	1214	0	0
dna:chromosome	545	446	2.28464	0.208197
dna:chromosome	1240	1141	9.0324	0.321744
dna:chromosome	959	860	0	0
dna:chromosome	937	838	0	0
dna:chromosome	1184	1085	0	0
dna:chromosome	1112	1013	0	0
dna:chromosome	1240	1141	0	0
dna:chromosome	900	801	0	0
dna:chromosome	677	578	0	0
dna:chromosome	947	848	0	0
dna:chromosome	1030	931	0	0
dna:chromosome	945	846	0	0
dna:chromosome	1482	1383	0	0
dna:chromosome	590	491	0	0
dna:chromosome	622	523	0	0
dna:chromosome	1407	1308	0	0
dna:chromosome	1456	1357	0	0
dna:chromosome	2737	2638	0	0
dna:chromosome	1185	1086	3.45009	0.12912
dna:chromosome	1322	1223	0	0
dna:chromosome	939	840	0	0
dna:chromosome	931	832	0	0
dna:chromosome	926	827	0	0
dna:chromosome	945	846	0	0
dna:chromosome	2898	2799	1.50019	0.0217839
dna:chromosome	12809	12710	2.64525	0.00845891
dna:chromosome	656	557	0	0
dna:chromosome	404	305	0	0
dna:chromosome	553	454	0	0
dna:chromosome	8003	7904	0.71865	0.00369541
dna:chromosome	944	845	0	0
